cond,cond_dur,Motivation,Direction,FreeText,PLEX_count,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation,test_score_adjusted,test_dur,test_ffe_total
Ctr,0.4705833333333333,2,1,didnt really understand it at all,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9326923076923,10.711933333333333,14.619521274585514
Exp,3.303366666666667,6,5,"I used trial and error, but it was useful",7,1,1,1,1,0,0,1,1,1,0,0,0,51.92307692307692,17.050266666666666,57.023150171917464
Exp,19.330766666666666,3,2,I found the software challenging to use. As i thought i was understanding it I would then go a step back and not understand,5,1,1,0,0,0,0,1,0,1,0,1,0,63.942307692307686,13.280116666666666,15.645597028208378
Ctr,0.7229666666666666,6,5,"Didn't really have a specific strategy, just tried clicking different traits to see how this influenced other traits. I tried clicking the same intervention several times, e.g. Depression, to see how much it would increase/reduce certain traits by - intervening on Depression seemed to influence all other traits, whereas intervening on other traits only influenced a select few of the other traits. Education influenced many traits, particularly Intelligence. I liked the way the arrows increased with speed as traits were repeatedly influenced, but sometimes it was so fast that you couldn't focus on which traits were being changed as a result of your intervention.",4,0,0,0,0,0,0,1,1,1,0,1,0,51.92307692307692,17.465016666666667,69.05439469101819
Ctr,0.29855,5,5,"I liked the presentation of the software, however think there could of been clearer instructions and tasks to do. It was interesting to see what decreasing alcohol intake did to intelligence as well as BMI",2,0,0,0,0,0,0,1,0,1,0,0,0,33.89423076923076,15.2258,46.26685138276977
Exp,27.434016666666665,5,6,I used the arrows to guide which intervention to select. I also thought of which would apply most in the real world. I liked the interactive diagram it was easy to follow,4,0,1,0,1,0,0,0,1,1,0,0,0,38.70192307692307,10.825333333333333,29.79856876301895
Ctr,5.314583333333333,4,5,"It was crazy to see how one thing could have an effect on so many other things (for example by just decreasing depression by 1% we decreased neuroticism, worry, loneliness, insomnia leading to an increase in wellbeing which in turn led to an increase/decrease in many more aspects). Having experienced mental health problems and having seen a massive increase in overall wellbeing myself my strategy at the beginning was to decrease depression, worry and loneliness to visually see how that has an effect on other domains. I then focused on additions rather than subtractions (e.g. increasing education). Although I was already aware of the effects (e.g. decreasing alcohol consumption decreasing insomnia, BMI etc.) the presentation makes it easier to make the links between all these things (especially if you're a visual learner like me) and personally I've found it useful especially since you can see percentages too.",4,0,0,1,0,0,0,0,1,1,0,1,0,39.903846153846146,17.17393333333333,70.16933179329534
Ctr,0.6502833333333334,2,2,I found the software very confusing and difficult to operate. I didn't have a strategy other than trying to investigate the individual items that were shown.,2,0,0,0,0,0,0,1,0,1,0,0,0,32.692307692307686,23.99925,52.61500520553027
Exp,25.816883333333333,6,5,I really enjoyed the presentation of the task and the music and overall appearance. I felt a sense of achievement when I did beat the computer and this did motivate me to do better on the next task. I was a bit confused on some tasks that I did not manage to have an effect on the objective even though I felt the options I has selected would have an effect.,7,0,1,1,1,0,0,1,1,1,0,1,0,45.91346153846153,13.803633333333332,72.13282216536656
Ctr,0.5231833333333333,6,6,"presentation was really nice- really cool to see the links between all the traits at once and all their interconnections. Didn't have a strategy, just explored, nothing prevented me from achieving what i wanted.",2,1,0,0,0,0,0,0,0,1,0,0,0,45.91346153846153,21.7837,30.1387465894155
Ctr,0.32894999999999996,6,3,"I found it really confusing. The more I played around with it, the more clear it became but I still struggled. I therefore didn't really have a strategy",3,0,1,0,0,0,0,1,0,1,0,0,0,33.89423076923076,13.320950000000002,74.36925368915169
Exp,62.28418333333333,5,3,I tried to reduce one item in order to have a domino effect to achieve the desired effect but this did not always work. Education was generally a go to as it affected many different traits. I though the space background was both entertaining and distracting/didn't fit the theme of the task.,6,0,1,1,1,0,0,1,0,1,0,1,0,45.91346153846153,53.75383333333333,57.55993409358071
Ctr,0.5597666666666666,5,3,"I didn't quite know what I was doing most of the time, but in the end I kept clicking education which got bigger and reduced a lot of the things classified as bad. I had no strategy, I just clicked the 'good' things as I didn't quite know what I was doing despite reading the instructions. the presentation was a bit confusing, it could have been a bit clearer, taking up the whole screen with not so many arrows",6,1,1,0,1,0,0,1,0,1,0,1,0,33.89423076923076,12.535533333333335,66.68548389984203
Ctr,7.46315,6,5,"I did not really understand what we were supposed to do, and wasn't sure if I was doing the right this, but was fun. It all seemed like common sense, but you don't really realise how many things can affect or be affected by one this. Presentation was fairly good, maybe bigger scale?",4,1,1,0,0,0,0,1,0,1,0,0,0,63.942307692307686,23.474833333333333,62.86485904803596
Exp,28.1915,6,5,"At first I was quite confused as to what I was doing but after level 2 I understood more. I found that for worry, depression and loneliness I understood it more as I know what increases and reduces it from personal experience, which also means I found these effects the most memorable.",5,0,1,1,1,0,0,0,1,1,0,0,0,51.92307692307692,22.31405,50.01353876490229
Exp,17.69895,6,6,i really liked the music and the look of the software - i found it very engaging and it worked very smoothy. my strategy was to follow the arrows as much as i could. it was sometimes difficult when you couldn't select a certain one. i also tried to memorise the times the computer beat me and did what the computer did if the same goal came up again.,7,0,1,1,1,0,0,1,1,1,0,1,0,45.91346153846153,26.046100000000003,76.58074416365983
Ctr,10.463799999999999,5,5,"no strategy, education had a noticeable impact on majority of the bad items",5,1,1,0,0,0,0,1,1,1,0,0,0,39.903846153846146,18.368433333333332,39.83673896802745
Exp,25.647850000000002,6,6,"Some effects did not seem correlated at all, and I did find myself confused at first.",7,1,1,0,1,0,0,1,1,1,0,1,0,51.92307692307692,12.679416666666667,83.17839162815989
Ctr,0.3204666666666667,6,4,i thought it was very visually pleasing that made it seem more like a game therefore it was more interactive and so i felt more inclined to try things out.,4,0,1,0,0,0,0,1,0,1,0,1,0,39.903846153846146,20.536833333333334,5.544946421664795
Exp,17.778983333333333,5,2,"I had a strategy to choose the factor I thought would be influential first, then others that link to that. I did find the design of the game a little confusing, though.",7,1,1,0,1,0,0,1,1,1,0,1,0,21.874999999999993,8.878983333333334,57.25586762092404
Ctr,3.4379666666666666,5,5,Found it a bit confusing but interesting,5,1,1,0,0,0,0,1,1,1,0,0,0,39.903846153846146,13.999783333333333,53.05892245096284
Ctr,3.1095166666666665,7,5,I didn't understand what I was supposed to do with the software.,2,0,0,0,0,0,0,0,0,1,0,1,0,39.903846153846146,13.967233333333333,16.156671586773506
Ctr,0.9103666666666667,2,3,no,7,1,1,1,1,0,0,1,0,1,0,1,0,38.70192307692307,20.851816666666664,9.574620721930598
Exp,1.7401333333333333,5,5,"I found the game difficult to understand, and couldn't work out a strategy that worked for me.",7,1,1,1,0,0,0,1,1,1,0,1,0,63.942307692307686,11.521866666666666,60.244342599712404
Exp,36.97221666666667,5,2,"To be honest, I found the software a bit confusing. Sometimes I won even though I accidentally lowered/increased a specific trait/behaviour when I was supposed to do the opposite. Some effects did not really make sense to me and sometimes it was not possible to affect a trait in a specifc way - or it was and I did not understand how to. I did like the concept of competing against a computer and having to find the best interventions etc, though. I feel like if I understood the game better, I would have memorized the effects. I always judged based on the causal relationships. As soon as it was possible to select multiple interventions, I tried to see what affects a specific trait directly and indirectly (and how).",6,1,1,1,0,0,0,1,0,1,0,1,0,57.9326923076923,31.911966666666665,56.89824771146992
Ctr,6.3952,5,6,"It was interesting to use and made key relationships easy to explore. I did find it difficult to understand the overarching aim of the software and what my true 'goal' was. I thought it was memorable, as the relationships were shown in a visually appealing way that caught my attention.",4,1,0,0,0,0,0,1,1,1,0,0,0,33.89423076923076,18.9767,53.910415375082984
Ctr,0.29736666666666667,7,5,Reduced all bad traits first,5,0,0,1,0,0,0,1,1,1,0,1,0,45.91346153846153,17.1782,25.72481339078065
Exp,39.3058,6,5,I just tried to think of what would make the most impact and kept note of what the computer used. I waas surprised how some things linked more than others.,5,1,1,1,1,0,0,1,0,0,0,0,0,57.9326923076923,40.2801,56.644856930401964
Exp,12.703333333333335,6,6,EDUCATION ALWAYS IMPOVED INTELLIGENCE,4,0,1,0,0,0,0,1,0,1,0,1,0,21.874999999999993,8.865383333333334,23.70326231279229
Exp,5.987183333333333,5,3,The format was a good motivator,2,0,0,0,0,0,0,0,0,1,0,1,0,39.903846153846146,15.8562,38.73283273875948
Exp,31.471383333333332,6,7,"In terms of strategy, I tried to make the biggest changes in the least moves possible. I liked how the effects weren't always that obvious and you had to think about how slight changes can make an impact on more than one thing. thought the game layout and system was great :)",8,1,1,1,1,0,0,1,1,1,0,1,0,39.903846153846146,17.2717,56.11946388564034
Exp,28.164383333333333,6,5,"It took me a little time to get the hang of the game, and sometimes it was a challenge to influence something indirectly. Placing the game in space is an interesting choice, I'm not sure why it was done, although it is an appealing background, but perhaps does not aid clarity. I like the music.",7,0,1,1,1,0,0,1,1,1,0,1,0,63.942307692307686,9.364149999999999,56.52446012438334
Ctr,1.3503833333333333,6,6,not really. i think it was very exciting and i enjoyed it,5,1,1,0,1,0,0,0,1,1,0,0,0,36.29807692307692,20.012816666666666,32.118052374162446
Ctr,0.7624333333333334,2,2,Not sure it worked properly for me as i was using a tablet so couldn’t ‘hover’ so was just clicking (pretty randomly) and seeing what changed and what had effects in what,4,0,0,1,0,0,0,1,1,1,0,0,0,47.115384615384606,26.175666666666668,21.54614064182625
Ctr,0.31534999999999996,6,6,"At first I hovered over the negative traits and followed lines of causation (what they were caused by). Then I tried to find common links between causes of bad traits, in order to reduce them. Increasing education had one of the most positive effects in reducing negative traits and increasing positive ones. I enjoyed the user interface and the challenge of the software.",7,1,1,0,1,0,0,1,1,1,0,1,0,39.903846153846146,8.449216666666667,24.909768295948105
Exp,21.758716666666665,5,5,"I found it very mesmerising but challenging at times, I pressed the icons that I thought was related to the task.",6,1,0,0,1,0,0,1,1,1,0,1,0,44.71153846153846,13.56225,31.226906390098062
Ctr,7.55945,7,4,"I thought that it was really engaging and interesting. I manipulated postive areas e.g ""education"" to notice the impact of an increase education, and also tried the other approach of trying to reduce negative ones such as ""insomnia"", which is probably less practical, but the impact was dramatic in terms of mental health outcomes. I think it could be improved with more prompts in the UI or help section. The only limitation was not being able manipulate all areas easily with interventions. So interesting and fun though!",4,1,0,1,0,0,0,1,0,1,0,0,0,27.884615384615373,25.404433333333333,51.39552635652581
Ctr,3.8630833333333334,6,5,"I did not have a strategy, I just pressed the buttons to see what would happen in each occasion. I found it memorable that when education increases, BMI,exercise, neuroticism and smoking habits decrease, while intelligence, social interactions and coffee consumption increase",4,1,0,0,0,0,0,1,0,1,0,1,0,45.91346153846153,23.214033333333337,60.09838476017322
Exp,48.69253333333334,4,4,I have a strategy when the experiment go into later. I don't know how to conduct it at the beggining,8,1,1,1,1,0,0,1,1,1,0,1,0,9.855769230769223,8.46945,24.392299423494407
Exp,33.66446666666666,6,6,"My method mostly involved memorising the computer's tac tics. Thought some of the game was a bit confusing e.g., what does eveningness mean? I was also mislead/confused about using interventions for emotions - i didn't realise you could intervene on 'wellbeing', 'depression', 'loneliness' etc. until a lot later in the game (though learning). It was interesting to see which combinations were the most effective.",6,0,1,0,1,0,0,1,1,1,0,1,0,51.92307692307692,21.676716666666668,46.56831517734917
Ctr,1.3769166666666666,1,1,I found the package very interactive and easy to use. It was fun. I liked the visualisation of the intevrentions,0,0,0,0,0,0,0,0,0,0,0,0,0,45.91346153846153,8.752183333333333,0
Exp,26.542433333333335,4,3,"I found it difficult to understand how to play, and what was asked of us. The graphics didn't make too much sense, I was confused by the arrows and I wasn't sure what I had to do. I was discovering the game as i was playing. Overall, it was stimulating because I have learnt some things about public health policies and which are best for a specific issue.",4,0,1,0,1,0,0,1,0,1,0,0,0,21.874999999999993,18.282083333333333,36.561051557865376
Exp,31.7235,5,5,I tried pick the interventions that are most effective,7,0,1,1,1,0,0,1,1,1,0,1,0,33.89423076923076,9.469116666666668,30.656516918884385
Ctr,4.879016666666667,7,6,"The strategy adopted was to focus on core interventions, before focusing in on smaller elements to mitigate the side-effects of larger interventions and further enhance their strength",4,1,0,0,0,0,0,1,1,1,0,0,0,33.89423076923076,30.24775,51.7107121018898
Ctr,1.4093833333333332,6,2,"It felt a bit buggy at times, but enjoyed the reactions and ease of access",5,0,0,0,1,0,0,1,1,1,0,1,0,33.89423076923076,18.747833333333336,59.132113354464124
Exp,31.473850000000002,6,5,"At first, it is a little bit confused about the blue line and read line as well as how these traits are influenced by each other. I tried to remember some answers (best strategies of computer) and analyse it, that is really helpful.  I am impressed that alcohol could improve evenings, education would increase many good traits.  One thing that really confused me is the interaction of increase and decrease, as these lines are very complicated.",7,1,1,0,1,0,0,1,1,1,0,1,0,39.903846153846146,21.8632,59.811658964272155
Ctr,0.34126666666666666,6,6,"the sounds were interesting, the presentation was intense",7,1,1,1,0,0,0,1,1,1,0,1,0,39.903846153846146,24.699033333333333,51.675033171904474
Exp,15.533866666666666,6,6,didn't feel anything was at stake so had no trouble guessing without mercy,5,1,0,0,0,0,0,1,1,1,0,1,0,32.692307692307686,44.10786666666666,17.951158123364785
Exp,22.43315,6,6,"To start with I was intervening on things that were closely linked to the objective, but after a while I realised that intervening on more indirect things such as loneliness would have a bigger knock-on effect. I thought the presentation of the game was quite nice, visual design was pleasing, there was humour in the instructions and the music was calming.",6,0,1,1,1,0,0,1,1,1,0,0,0,57.9326923076923,19.678449999999998,81.61669993216805
Exp,2.8814333333333333,6,5,I found it distracting that the effect of one intervention would flash all over the place while I was trying to choose another,8,1,1,1,1,0,0,1,1,1,0,1,0,32.692307692307686,8.5593,16.583917795902355
Ctr,0.5906833333333333,7,7,"I enjoyed clicking on different elements and seeing their effect. However, some effects happened so quickly that it was hard to follow and I did not find all interactions particularly memorable.",2,0,0,0,0,0,0,1,0,1,0,0,0,39.903846153846146,12.137783333333335,33.524932820311975
Exp,30.662933333333335,5,4,I kind of form some strategy but it doesn't always work. About level 5 I finally realize some policy are memorable.,8,1,1,1,1,0,0,1,1,1,0,1,0,39.903846153846146,21.535916666666665,39.294093334681946
Ctr,1.4757166666666668,4,3,Intuitive choices,4,0,0,1,0,0,0,1,1,1,0,0,0,39.903846153846146,20.460166666666666,20.437938530081553
Exp,31.585616666666667,6,5,I tried to remember the answers. I was a bit confused about which traits impacted on each other as there was a lot of detail in the diagram. But the presentation and sounds etc made it enjoyable.,7,1,1,1,0,0,0,1,1,1,0,1,0,51.92307692307692,22.270916666666665,68.46757114670176
Ctr,16.30695,5,6,"I was mostly motivated through my curiosity to see causal relationships. However, curiosity soon subsided and lack of goal or challenge made me lose interest. Perhaps if I had a limited number of ""interventions"" to try have the greatest impact I would be more invested. I liked seeing the ""chain reaction"" especially as it sped up on the more effective interventions. Presentation was good. It would of been nice to be able to rotate the simulation to orientate it how I rather than just dragging the traits (I'm aware this is quite a tall order).",4,1,0,0,0,0,0,1,0,1,0,1,0,33.89423076923076,49.25384999999999,79.4066042895962
Exp,30.975283333333334,3,4,INtriguing - music made it more of an adventure. Fun to play with.,6,1,0,0,1,0,0,1,1,1,0,1,0,39.903846153846146,13.698466666666667,51.37586221307028
Exp,26.78585,6,7,I looked at the strength and sequence of arrows,8,1,1,1,1,0,0,1,1,1,0,1,0,45.91346153846153,20.05005,46.52658352926716
Ctr,10.749333333333334,7,7,"It’s very interesting and funny. However, I think a few more trait can be added such as obrsity, fear and altruism to make this system more complete.",4,0,0,0,1,0,0,1,1,1,0,0,0,39.903846153846146,23.3548,66.76527332738291
Exp,2.8499833333333333,4,5,It is a good idea to play with the game to in order to increase fancy and fun.,5,1,0,1,0,0,0,1,1,1,0,0,0,21.874999999999993,19.728616666666667,25.602056939652883
