cond,cond_dur,Motivation,Direction,FreeText,PLEX_count,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation,test_score_z,test_dur,test_ffe_total
Exp,17.124483333333334,6,6,"I made a mental note of the computer's winning responses and made sure to choose those options when they came up again. It would have been nice to be able to have a closer image of the game, or an interactive zoom option. Additionally, It would have been motivating and interesting to see the scores tallied between the computer and the player. I thought the music was a good balance of soft and continuous, providing an immersive experience without being distracting.",7,0,1,1,1,0,1,1,0,0,0,1,1,0.7863659690295874,10.514416666666667,-0.7999200978882723
Ctr,0.7664333333333333,5,5,I donot have a strategy,10,1,1,1,1,1,0,0,1,1,1,1,1,1.6464537476556984,16.66893333333333,-0.8835233398769484
Ctr,0.4705833333333333,2,1,didnt really understand it at all,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9338095882226345,10.711933333333333,-1.0839960887926776
Exp,3.303366666666667,6,5,"I used trial and error, but it was useful",8,1,1,1,1,1,1,1,0,0,0,0,1,-0.503765698909579,17.050266666666666,0.40680931345223426
Exp,19.330766666666666,3,2,I found the software challenging to use. As i thought i was understanding it I would then go a step back and not understand,6,1,1,0,0,1,0,1,1,0,1,0,0,1.6464537476556984,13.280116666666666,-1.0443825145281633
Ctr,0.7229666666666666,6,5,"Didn't really have a specific strategy, just tried clicking different traits to see how this influenced other traits. I tried clicking the same intervention several times, e.g. Depression, to see how much it would increase/reduce certain traits by - intervening on Depression seemed to influence all other traits, whereas intervening on other traits only influenced a select few of the other traits. Education influenced many traits, particularly Intelligence. I liked the way the arrows increased with speed as traits were repeatedly influenced, but sometimes it was so fast that you couldn't focus on which traits were being changed as a result of your intervention.",6,0,0,0,0,1,1,1,1,0,1,0,1,0.7863659690295874,17.465016666666667,0.8994258599422337
Ctr,0.29855,5,5,"I liked the presentation of the software, however think there could of been clearer instructions and tasks to do. It was interesting to see what decreasing alcohol intake did to intelligence as well as BMI",4,0,0,0,0,1,0,1,0,0,0,1,1,-0.07372180959652354,15.2258,-0.026445080950567825
Exp,27.434016666666665,5,6,I used the arrows to guide which intervention to select. I also thought of which would apply most in the real world. I liked the interactive diagram it was easy to follow,4,0,1,0,1,0,1,1,0,0,0,0,0,0.7863659690295874,10.825333333333333,-0.4538684557238543
Ctr,5.314583333333333,4,5,"It was crazy to see how one thing could have an effect on so many other things (for example by just decreasing depression by 1% we decreased neuroticism, worry, loneliness, insomnia leading to an increase in wellbeing which in turn led to an increase/decrease in many more aspects). Having experienced mental health problems and having seen a massive increase in overall wellbeing myself my strategy at the beginning was to decrease depression, worry and loneliness to visually see how that has an effect on other domains. I then focused on additions rather than subtractions (e.g. increasing education). Although I was already aware of the effects (e.g. decreasing alcohol consumption decreasing insomnia, BMI etc.) the presentation makes it easier to make the links between all these things (especially if you're a visual learner like me) and personally I've found it useful especially since you can see percentages too.",5,0,0,1,0,0,1,1,1,0,1,0,0,0.7863659690295874,17.17393333333333,0.9437072552276005
Ctr,0.6502833333333334,2,2,I found the software very confusing and difficult to operate. I didn't have a strategy other than trying to investigate the individual items that were shown.,3,0,0,0,0,1,0,1,0,0,1,0,0,-0.07372180959652354,23.99925,0.23569435226353824
Exp,25.816883333333333,6,5,I really enjoyed the presentation of the task and the music and overall appearance. I felt a sense of achievement when I did beat the computer and this did motivate me to do better on the next task. I was a bit confused on some tasks that I did not manage to have an effect on the objective even though I felt the options I has selected would have an effect.,10,0,1,1,1,1,1,1,1,0,1,1,1,0.35632207971653196,13.803633333333332,1.0170517356014894
Ctr,0.5231833333333333,6,6,"presentation was really nice- really cool to see the links between all the traits at once and all their interconnections. Didn't have a strategy, just explored, nothing prevented me from achieving what i wanted.",4,1,0,0,0,0,0,1,0,0,0,1,1,1.216409858342643,21.7837,-0.45011941798572325
Ctr,0.32894999999999996,6,3,"I found it really confusing. The more I played around with it, the more clear it became but I still struggled. I therefore didn't really have a strategy",4,0,1,0,0,1,0,1,0,0,1,0,0,-2.223941256161801,13.320950000000002,1.1301812715686816
Exp,62.28418333333333,5,3,I tried to reduce one item in order to have a domino effect to achieve the desired effect but this did not always work. Education was generally a go to as it affected many different traits. I though the space background was both entertaining and distracting/didn't fit the theme of the task.,8,0,1,1,1,1,0,1,1,1,0,0,1,0.35632207971653196,53.75383333333333,0.47235759867155863
Ctr,0.5597666666666666,5,3,"I didn't quite know what I was doing most of the time, but in the end I kept clicking education which got bigger and reduced a lot of the things classified as bad. I had no strategy, I just clicked the 'good' things as I didn't quite know what I was doing despite reading the instructions. the presentation was a bit confusing, it could have been a bit clearer, taking up the whole screen with not so many arrows",7,1,1,0,1,1,0,1,1,0,1,0,0,-0.07372180959652354,12.535533333333335,0.7974014203706674
Ctr,7.46315,6,5,"I did not really understand what we were supposed to do, and wasn't sure if I was doing the right this, but was fun. It all seemed like common sense, but you don't really realise how many things can affect or be affected by one this. Presentation was fairly good, maybe bigger scale?",6,1,1,0,0,1,0,1,0,1,0,1,0,1.216409858342643,23.474833333333333,0.6414378792743473
Exp,28.1915,6,5,"At first I was quite confused as to what I was doing but after level 2 I understood more. I found that for worry, depression and loneliness I understood it more as I know what increases and reduces it from personal experience, which also means I found these effects the most memorable.",8,0,1,1,1,0,1,1,0,1,1,1,0,-0.07372180959652354,22.31405,0.09906076103351857
Exp,17.69895,6,6,i really liked the music and the look of the software - i found it very engaging and it worked very smoothy. my strategy was to follow the arrows as much as i could. it was sometimes difficult when you couldn't select a certain one. i also tried to memorise the times the computer beat me and did what the computer did if the same goal came up again.,8,0,1,1,1,1,1,1,1,0,0,1,0,1.216409858342643,26.046100000000003,1.2045833812602278
Ctr,10.463799999999999,5,5,"no strategy, education had a noticeable impact on majority of the bad items",5,1,1,0,0,1,1,1,0,0,0,0,0,-0.9338095882226345,18.368433333333332,-0.26166464126922273
Exp,25.647850000000002,6,6,"Some effects did not seem correlated at all, and I did find myself confused at first.",8,1,1,0,1,1,1,1,1,0,0,0,1,-0.07372180959652354,12.679416666666667,1.4862819871783897
Ctr,0.3204666666666667,6,4,i thought it was very visually pleasing that made it seem more like a game therefore it was more interactive and so i felt more inclined to try things out.,6,0,1,0,0,1,0,1,1,0,0,1,1,-0.07372180959652354,20.536833333333334,-1.4391153242670014
Exp,17.778983333333333,5,2,"I had a strategy to choose the factor I thought would be influential first, then others that link to that. I did find the design of the game a little confusing, though.",8,1,1,0,1,1,1,1,1,0,0,0,1,-2.223941256161801,8.878983333333334,0.5520435913292571
Ctr,3.4379666666666666,5,5,Found it a bit confusing but interesting,7,1,1,0,0,1,1,1,0,1,1,0,0,0.35632207971653196,13.999783333333333,0.21064041521574287
Ctr,3.1095166666666665,7,5,I didn't understand what I was supposed to do with the software.,2,0,0,0,0,0,0,1,1,0,0,0,0,-0.9338095882226345,13.967233333333333,-1.0126185909412095
Ctr,0.9103666666666667,2,3,no,9,1,1,1,1,1,0,1,1,1,1,0,0,-0.07372180959652354,20.851816666666664,-1.3020597117547714
Exp,1.7401333333333333,5,5,"I found the game difficult to understand, and couldn't work out a strategy that worked for me.",8,1,1,1,0,1,1,1,1,0,1,0,0,1.216409858342643,11.521866666666666,0.5354717559869779
Exp,36.97221666666667,5,2,"To be honest, I found the software a bit confusing. Sometimes I won even though I accidentally lowered/increased a specific trait/behaviour when I was supposed to do the opposite. Some effects did not really make sense to me and sometimes it was not possible to affect a trait in a specifc way - or it was and I did not understand how to. I did like the concept of competing against a computer and having to find the best interventions etc, though. I feel like if I understood the game better, I would have memorized the effects. I always judged based on the causal relationships. As soon as it was possible to select multiple interventions, I tried to see what affects a specific trait directly and indirectly (and how).",7,1,1,1,0,1,0,1,1,0,0,0,1,1.216409858342643,31.911966666666665,0.41181953218744405
Ctr,6.3952,5,6,"It was interesting to use and made key relationships easy to explore. I did find it difficult to understand the overarching aim of the software and what my true 'goal' was. I thought it was memorable, as the relationships were shown in a visually appealing way that caught my attention.",6,1,0,0,0,1,1,1,0,0,1,0,1,-0.503765698909579,18.9767,0.2606222799131721
Ctr,0.29736666666666667,7,5,Reduced all bad traits first,9,0,0,1,0,1,1,1,1,1,1,1,1,-0.07372180959652354,17.1782,-0.8048905519448126
Exp,39.3058,6,5,I just tried to think of what would make the most impact and kept note of what the computer used. I waas surprised how some things linked more than others.,6,1,1,1,1,1,0,0,0,0,0,0,1,0.7863659690295874,40.2801,0.3628910233796966
Exp,12.703333333333335,6,6,EDUCATION ALWAYS IMPOVED INTELLIGENCE,6,0,1,0,0,1,0,1,1,0,1,0,1,-2.223941256161801,8.865383333333334,-0.652066728134832
Exp,5.987183333333333,5,3,The format was a good motivator,2,0,0,0,0,0,0,1,1,0,0,0,0,0.35632207971653196,15.8562,-0.3461380048150295
Exp,31.471383333333332,6,7,"In terms of strategy, I tried to make the biggest changes in the least moves possible. I liked how the effects weren't always that obvious and you had to think about how slight changes can make an impact on more than one thing. thought the game layout and system was great :)",10,1,1,1,1,1,1,1,1,0,1,0,1,-0.503765698909579,17.2717,0.36097531620307444
Exp,28.164383333333333,6,5,"It took me a little time to get the hang of the game, and sometimes it was a challenge to influence something indirectly. Placing the game in space is an interesting choice, I'm not sure why it was done, although it is an appealing background, but perhaps does not aid clarity. I like the music.",9,0,1,1,1,1,1,1,1,0,1,0,1,-0.9338095882226345,9.364149999999999,0.38552486656740226
Ctr,1.3503833333333333,6,6,not really. i think it was very exciting and i enjoyed it,6,1,1,0,1,0,1,1,0,1,0,0,0,-0.07372180959652354,20.012816666666666,-0.4728509540505123
Ctr,0.7624333333333334,2,2,Not sure it worked properly for me as i was using a tablet so couldn’t ‘hover’ so was just clicking (pretty randomly) and seeing what changed and what had effects in what,5,0,0,1,0,1,1,1,0,0,1,0,0,0.35632207971653196,26.175666666666668,-0.821535355984896
Ctr,0.31534999999999996,6,6,"At first I hovered over the negative traits and followed lines of causation (what they were caused by). Then I tried to find common links between causes of bad traits, in order to reduce them. Increasing education had one of the most positive effects in reducing negative traits and increasing positive ones. I enjoyed the user interface and the challenge of the software.",9,1,1,0,1,1,1,1,1,0,1,0,1,0.35632207971653196,8.449216666666667,-0.8203129039266475
Exp,21.758716666666665,5,5,"I found it very mesmerising but challenging at times, I pressed the icons that I thought was related to the task.",9,1,0,0,1,1,1,1,1,0,1,1,1,-0.503765698909579,13.56225,-0.5608400067360664
Ctr,7.55945,7,4,"I thought that it was really engaging and interesting. I manipulated postive areas e.g ""education"" to notice the impact of an increase education, and also tried the other approach of trying to reduce negative ones such as ""insomnia"", which is probably less practical, but the impact was dramatic in terms of mental health outcomes. I think it could be improved with more prompts in the UI or help section. The only limitation was not being able manipulate all areas easily with interventions. So interesting and fun though!",7,1,0,1,0,1,0,1,0,1,0,1,1,-0.503765698909579,25.404433333333333,0.1524697577802905
Ctr,3.8630833333333334,6,5,"I did not have a strategy, I just pressed the buttons to see what would happen in each occasion. I found it memorable that when education increases, BMI,exercise, neuroticism and smoking habits decrease, while intelligence, social interactions and coffee consumption increase",5,1,0,0,0,1,0,1,1,0,0,0,1,-0.07372180959652354,23.214033333333337,0.5325512279212914
Exp,48.69253333333334,4,4,I have a strategy when the experiment go into later. I don't know how to conduct it at the beggining,12,1,1,1,1,1,1,1,1,1,1,1,1,-3.084029034787912,8.46945,-0.6576177260757317
Exp,33.66446666666666,6,6,"My method mostly involved memorising the computer's tac tics. Thought some of the game was a bit confusing e.g., what does eveningness mean? I was also mislead/confused about using interventions for emotions - i didn't realise you could intervene on 'wellbeing', 'depression', 'loneliness' etc. until a lot later in the game (though learning). It was interesting to see which combinations were the most effective.",8,0,1,0,1,1,1,1,1,0,1,0,1,1.216409858342643,21.676716666666668,0.012980769435319263
Ctr,1.3769166666666666,1,1,I found the package very interactive and easy to use. It was fun. I liked the visualisation of the intevrentions,2,0,0,0,0,0,0,0,0,0,1,0,1,-0.503765698909579,8.752183333333333,-1.688636315840042
Exp,26.542433333333335,4,3,"I found it difficult to understand how to play, and what was asked of us. The graphics didn't make too much sense, I was confused by the arrows and I wasn't sure what I had to do. I was discovering the game as i was playing. Overall, it was stimulating because I have learnt some things about public health policies and which are best for a specific issue.",6,0,1,0,1,1,0,1,0,0,1,1,0,-1.7938973668487455,18.282083333333333,-0.4351865987026296
Exp,31.7235,5,5,I tried pick the interventions that are most effective,9,0,1,1,1,1,1,1,1,0,1,1,0,-1.36385347753569,9.469116666666668,-0.5025244764157899
Ctr,4.879016666666667,7,6,"The strategy adopted was to focus on core interventions, before focusing in on smaller elements to mitigate the side-effects of larger interventions and further enhance their strength",6,1,0,0,0,1,1,1,0,0,1,1,0,0.35632207971653196,30.24775,0.34628908968203553
Ctr,1.4093833333333332,6,2,"It felt a bit buggy at times, but enjoyed the reactions and ease of access",7,0,0,0,1,1,1,1,1,1,0,1,0,-0.9338095882226345,18.747833333333336,0.6468693788837954
Exp,31.473850000000002,6,5,"At first, it is a little bit confused about the blue line and read line as well as how these traits are influenced by each other. I tried to remember some answers (best strategies of computer) and analyse it, that is really helpful.  I am impressed that alcohol could improve evenings, education would increase many good traits.  One thing that really confused me is the interaction of increase and decrease, as these lines are very complicated.",9,1,1,0,1,1,1,1,1,0,1,0,1,-0.07372180959652354,21.8632,0.5298067307482391
Ctr,0.34126666666666666,6,6,"the sounds were interesting, the presentation was intense",9,1,1,1,0,1,1,1,1,1,0,0,1,0.7863659690295874,24.699033333333333,0.35806363888944764
Exp,15.533866666666666,6,6,didn't feel anything was at stake so had no trouble guessing without mercy,7,1,0,0,0,1,1,1,1,0,0,1,1,-0.9338095882226345,44.10786666666666,-0.9195473904594211
Exp,22.43315,6,6,"To start with I was intervening on things that were closely linked to the objective, but after a while I realised that intervening on more indirect things such as loneliness would have a bigger knock-on effect. I thought the presentation of the game was quite nice, visual design was pleasing, there was humour in the instructions and the music was calming.",10,0,1,1,1,1,1,1,0,1,1,1,1,1.216409858342643,19.678449999999998,1.3925132233893924
Exp,2.8814333333333333,6,5,I found it distracting that the effect of one intervention would flash all over the place while I was trying to choose another,10,1,1,1,1,1,1,1,1,0,0,1,1,-0.503765698909579,8.5593,-0.9912096571739853
Ctr,0.5906833333333333,7,7,"I enjoyed clicking on different elements and seeing their effect. However, some effects happened so quickly that it was hard to follow and I did not find all interactions particularly memorable.",3,0,0,0,0,1,0,1,0,0,0,0,1,0.7863659690295874,12.137783333333335,-0.4213148215761535
Exp,30.662933333333335,5,4,I kind of form some strategy but it doesn't always work. About level 5 I finally realize some policy are memorable.,9,1,1,1,1,1,1,1,1,0,0,0,1,-0.503765698909579,21.535916666666665,-0.05219308566839366
Ctr,1.4757166666666668,4,3,Intuitive choices,6,0,0,1,0,1,1,1,0,0,1,1,0,-0.07372180959652354,20.460166666666666,-0.8405972366514964
Exp,31.585616666666667,6,5,I tried to remember the answers. I was a bit confused about which traits impacted on each other as there was a lot of detail in the diagram. But the presentation and sounds etc made it enjoyable.,10,1,1,1,0,1,1,1,1,1,0,1,1,1.6464537476556984,22.270916666666665,0.8683862640485647
Ctr,16.30695,5,6,"I was mostly motivated through my curiosity to see causal relationships. However, curiosity soon subsided and lack of goal or challenge made me lose interest. Perhaps if I had a limited number of ""interventions"" to try have the greatest impact I would be more invested. I liked seeing the ""chain reaction"" especially as it sped up on the more effective interventions. Presentation was good. It would of been nice to be able to rotate the simulation to orientate it how I rather than just dragging the traits (I'm aware this is quite a tall order).",6,1,0,0,0,1,0,1,1,0,0,1,1,0.35632207971653196,49.25384999999999,1.3271854737034883
Exp,30.975283333333334,3,4,INtriguing - music made it more of an adventure. Fun to play with.,10,1,0,0,1,1,1,1,1,1,1,1,1,-0.9338095882226345,13.698466666666667,0.1805349999120881
Exp,26.78585,6,7,I looked at the strength and sequence of arrows,8,1,1,1,1,1,1,1,1,0,0,0,0,1.216409858342643,20.05005,0.2710624001512244
Ctr,10.749333333333334,7,7,"It’s very interesting and funny. However, I think a few more trait can be added such as obrsity, fear and altruism to make this system more complete.",8,0,0,0,1,1,1,1,0,1,1,1,1,-0.503765698909579,23.3548,0.803561552328605
Exp,2.8499833333333333,4,5,It is a good idea to play with the game to in order to increase fancy and fun.,8,1,0,1,0,1,1,1,0,0,1,1,1,-2.223941256161801,19.728616666666667,-0.6180113444549594
